1 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
2 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
2 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
3 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
3 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
3 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
1 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
1 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
1 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
1 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
1 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
1 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
1 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
2 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
2 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
2 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
2 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
2 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
2 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
3 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
4 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
4 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
4 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
4 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
4 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
4 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
5 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
5 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
5 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
5 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
6 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
8 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
9 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
9 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
9 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
9 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
9 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
9 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
9 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
11 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
11 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
11 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
11 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
11 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
12 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
12 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
13 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
14 Hint: ( net_buffer_length , 1mb , [] )  hint_id : 68 
15 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
15 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
15 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
15 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
15 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
16 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
18 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
19 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
19 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
20 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
20 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
20 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
20 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
20 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
20 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
20 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
20 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
20 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
21 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
21 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
22 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
22 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
22 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
22 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
22 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
25 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
25 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
28 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
28 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
28 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
28 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
29 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
29 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
29 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
29 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
30 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
31 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
31 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
31 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
34 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
37 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
38 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
39 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
39 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
39 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
40 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
40 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
40 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
41 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
41 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
41 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
42 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
42 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
43 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
43 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
43 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
44 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
44 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
44 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
44 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
44 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
45 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
45 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
45 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
45 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
46 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
46 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
47 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
47 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
48 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
49 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
49 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
49 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
50 Hint: ( innodb_log_file_size , 64mb , [] )  hint_id : 27 
50 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
1 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
1 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
2 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
2 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
2 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
3 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
3 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
4 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
4 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
5 Hint: ( innodb_buffer_pool_size , increase , ['large queries'] )  hint_id : 14 
5 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
5 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
5 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
5 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
5 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
7 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
8 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
9 Hint: ( innodb_io_capacity , 1000 , ['SSD'] )  hint_id : 17 
9 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
10 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
11 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
11 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
11 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
11 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
12 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
12 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
12 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
12 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
12 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
12 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
13 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
13 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
13 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
13 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
13 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
13 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
13 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
13 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
13 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
13 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
14 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
14 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
14 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
14 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
14 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
14 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
14 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
14 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
15 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
15 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
15 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
15 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
15 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
15 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
15 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
16 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
16 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
16 Hint: ( innodb_buffer_pool_size , 0.75mem , ['write heavy'] )  hint_id : 6 
16 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
16 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
16 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
16 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
16 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
17 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
17 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
17 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
17 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
17 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
17 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
18 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
18 Hint: ( innodb_log_file_size , increase , ['write heavy'] )  hint_id : 26 
18 Hint: ( innodb_log_file_size , 1024mb , [] )  hint_id : 30 
18 Hint: ( innodb_log_file_size , 20gb , [] )  hint_id : 31 
18 Hint: ( innodb_log_file_size , 4gb , ['write heavy'] )  hint_id : 32 
18 Hint: ( innodb_log_file_size , 2gb , [] )  hint_id : 33 
18 Hint: ( innodb_write_io_threads , 8 , ['write heavy'] )  hint_id : 41 
19 Hint: ( innodb_log_buffer_size , increase , ['large queries'] )  hint_id : 22 
19 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
19 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
19 Hint: ( innodb_lru_scan_depth , decrease , ['write heavy'] )  hint_id : 36 
20 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
20 Hint: ( tmp_table_size , 1gb , ['complex queries'] )  hint_id : 64 
20 Hint: ( tmp_table_size , 32mb , [] )  hint_id : 65 
21 Hint: ( innodb_buffer_pool_size , 6gb , [] )  hint_id : 1 
21 Hint: ( innodb_buffer_pool_size , 5gb , [] )  hint_id : 2 
21 Hint: ( innodb_log_file_size , 512mb , ['write heavy'] )  hint_id : 24 
21 Hint: ( innodb_log_file_size , 256mb , ['write heavy'] )  hint_id : 25 
21 Hint: ( innodb_log_file_size , 128mb , [] )  hint_id : 28 
21 Hint: ( innodb_log_file_size , 500mb , [] )  hint_id : 29 
21 Hint: ( join_buffer_size , 256kb , [] )  hint_id : 47 
